country,year,control_total_patents
MY,1992,13.0
MY,1993,21.0
MY,1994,29.0
MY,1995,79.0
MY,1996,52.0
MY,1997,21.0
MY,1998,39.0
MY,1999,24.0
MY,2000,18.0
MY,2001,32.0
MY,2002,31.0
MY,2003,24.0
MY,2004,37.0
MY,2005,187.0
MY,2006,338.0
MY,2007,198.0
MY,2008,270.0
MY,2009,200.0
MY,2010,310.0
MY,2011,295.0
MY,2012,288.0
MY,2013,344.0
MY,2014,344.0
MY,2015,355.0
MY,2016,437.0
MY,2017,469.0
MY,2018,565.0
MY,2019,1147.0
MY,2020,
BM,1985,
BM,1986,
BM,1987,
BM,1988,
BM,1989,
BM,1990,
BM,1991,
BM,1992,
BM,1993,
BM,1994,
BM,1995,
BM,1996,
BM,1997,
BM,1998,
BM,1999,
BM,2000,
BM,2001,
BM,2002,
BM,2003,
BM,2004,
BM,2005,
BM,2006,
BM,2007,
BM,2008,
BM,2009,
BM,2010,
BM,2011,
BM,2012,
BM,2013,
BM,2014,
BM,2015,
BM,2016,
BM,2017,
BM,2018,
BM,2019,
BM,2020,
AT,1985,1116.0
AT,1986,1235.0
AT,1987,1260.0
AT,1988,1188.0
AT,1989,1176.0
AT,1990,1065.0
AT,1991,961.0
AT,1992,934.0
AT,1993,1137.0
AT,1994,1195.0
AT,1995,1077.0
AT,1996,995.0
AT,1997,1028.0
AT,1998,1037.0
AT,1999,958.0
AT,2000,1075.0
AT,2001,1208.0
AT,2002,1110.0
AT,2003,784.0
AT,2004,771.0
AT,2005,1327.0
AT,2006,1038.0
AT,2007,1104.0
AT,2008,940.0
AT,2009,955.0
AT,2010,1010.0
AT,2011,1247.0
AT,2012,1069.0
AT,2013,827.0
AT,2014,1140.0
AT,2015,984.0
AT,2016,980.0
AT,2017,1005.0
AT,2018,973.0
AT,2019,933.0
AT,2020,
SU,1985,78090.0
SU,1986,83654.0
SU,1987,82594.0
SU,1988,83341.0
SU,1989,83426.0
SU,1990,
SU,1991,
SU,1992,
SU,1993,
SU,1994,
SU,1995,
SU,1996,
SU,1997,
SU,1998,
SU,1999,
SU,2000,
SU,2001,
SU,2002,
SU,2003,
SU,2004,
SU,2005,
SU,2006,
SU,2007,
SU,2008,
SU,2009,
SU,2010,
SU,2011,
SU,2012,
SU,2013,
SU,2014,
SU,2015,
SU,2016,
SU,2017,
SU,2018,
SU,2019,
SU,2020,
GR,1985,1228.0
GR,1986,1423.0
GR,1987,179.0
GR,1988,27.0
GR,1989,68.0
GR,1990,116.0
GR,1991,142.0
GR,1992,203.0
GR,1993,162.0
GR,1994,213.0
GR,1995,195.0
GR,1996,195.0
GR,1997,149.0
GR,1998,200.0
GR,1999,183.0
GR,2000,222.0
GR,2001,318.0
GR,2002,277.0
GR,2003,325.0
GR,2004,287.0
GR,2005,292.0
GR,2006,345.0
GR,2007,425.0
GR,2008,424.0
GR,2009,467.0
GR,2010,
GR,2011,286.0
GR,2012,271.0
GR,2013,302.0
GR,2014,255.0
GR,2015,264.0
GR,2016,252.0
GR,2017,229.0
GR,2018,237.0
GR,2019,213.0
GR,2020,
MT,1985,2.0
MT,1986,1.0
MT,1987,2.0
MT,1988,2.0
MT,1989,1.0
MT,1990,3.0
MT,1991,4.0
MT,1992,4.0
MT,1993,3.0
MT,1994,8.0
MT,1995,2.0
MT,1996,
MT,1997,7.0
MT,1998,10.0
MT,1999,21.0
MT,2000,19.0
MT,2001,18.0
MT,2002,
MT,2003,
MT,2004,
MT,2005,
MT,2006,4.0
MT,2007,3.0
MT,2008,10.0
MT,2009,
MT,2010,
MT,2011,6.0
MT,2012,10.0
MT,2013,1.0
MT,2014,8.0
MT,2015,6.0
MT,2016,6.0
MT,2017,1.0
MT,2018,5.0
MT,2019,5.0
MT,2020,
IE,1985,36.0
IE,1986,16.0
IE,1987,10.0
IE,1988,24.0
IE,1989,32.0
IE,1990,39.0
IE,1991,33.0
IE,1992,
IE,1993,
IE,1994,
IE,1995,
IE,1996,
IE,1997,
IE,1998,
IE,1999,
IE,2000,
IE,2001,
IE,2002,
IE,2003,
IE,2004,
IE,2005,
IE,2006,
IE,2007,
IE,2008,
IE,2009,
IE,2010,
IE,2011,
IE,2012,
IE,2013,
IE,2014,
IE,2015,35.0
IE,2016,18.0
IE,2017,28.0
IE,2018,17.0
IE,2019,18.0
IE,2020,
TR,1985,56.0
TR,1986,63.0
TR,1987,54.0
TR,1988,31.0
TR,1989,49.0
TR,1990,63.0
TR,1991,54.0
TR,1992,55.0
TR,1993,57.0
TR,1994,58.0
TR,1995,47.0
TR,1996,7.0
TR,1997,31.0
TR,1998,28.0
TR,1999,23.0
TR,2000,58.0
TR,2001,72.0
TR,2002,92.0
TR,2003,68.0
TR,2004,88.0
TR,2005,107.0
TR,2006,296.0
TR,2007,299.0
TR,2008,406.0
TR,2009,
TR,2010,770.0
TR,2011,923.0
TR,2012,1100.0
TR,2013,1170.0
TR,2014,1567.0
TR,2015,1609.0
TR,2016,1757.0
TR,2017,2597.0
TR,2018,1756.0
TR,2019,1929.0
TR,2020,
ES,1985,1557.0
ES,1986,1019.0
ES,1987,908.0
ES,1988,2472.0
ES,1989,1604.0
ES,1990,1067.0
ES,1991,1696.0
ES,1992,206.0
ES,1993,664.0
ES,1994,513.0
ES,1995,736.0
ES,1996,1029.0
