year,country,count,granted_count,granted_family_ge_2_count
2002,SI,549,409,238
2002,TH,108,73,34
2002,UA,2088,1984,254
2002,US,336871,194404,140648
2002,ZA,1105,466,415
2003,AR,485,184,124
2003,AU,9405,4401,3223
2003,BE,6632,3328,3078
2003,BG,454,211,58
2003,BR,7352,886,397
2003,CA,19488,9706,7906
2003,CH,24307,12950,12020
2003,CN,140444,114575,4582
2003,DE,157317,79334,60447
2003,DK,6758,3320,3044
2003,EG,64,21,8
2003,ES,8881,6428,2913
2003,FI,11595,6108,5327
2003,FR,50326,30274,26149
2003,GB,33868,16173,14325
2003,GR,273,90,83
2003,HU,1577,517,259
2003,IE,1946,736,676
2003,IL,6066,2627,2280
2003,IN,3152,1367,1135
2003,IT,20165,10599,10112
2003,JP,153386,96901,91229
2003,KR,62711,37905,19966
2003,MA,107,95,7
2003,MX,842,309,164
2003,MY,550,392,133
2003,NL,26203,12947,11217
2003,NO,3816,1888,1683
2003,NZ,1541,618,531
2003,PA,113,43,41
2003,PH,54,12,8
2003,PL,3208,1286,218
2003,RU,19475,18630,695
2003,SE,18164,8890,8185
2003,SG,1635,925,759
2003,SI,674,479,293
2003,TH,105,56,26
2003,UA,8859,8723,343
2003,US,354530,196425,144650
2003,ZA,1256,545,491
2004,AR,1148,384,120
2004,AU,11623,5472,3989
2004,BE,7053,3317,3117
2004,BG,407,166,46
2004,BR,8203,1260,580
2004,CA,19516,9209,7301
2004,CH,25905,13319,12369
2004,CN,156665,124553,5892
2004,DE,166748,82448,62893
2004,DK,7312,3438,3155
2004,EG,101,26,10
2004,ES,9427,6632,3046
2004,FI,12202,6057,5285
2004,FR,54464,32250,27879
2004,GB,35383,15852,14213
2004,GR,387,172,159
2004,HU,1914,711,460
2004,IE,2203,901,787
2004,IL,7024,2955,2534
2004,IN,2909,1041,835
2004,IT,20229,10585,10065
2004,JP,176241,105074,98786
2004,KR,122597,72942,31197
2004,MA,112,99,4
2004,MX,1012,387,217
2004,MY,730,526,214
2004,NL,28278,13543,11694
2004,NO,3595,1901,1699
2004,NZ,1790,686,607
2004,PA,71,48,44
2004,PH,64,20,16
2004,PL,3246,1347,225
2004,RU,19070,18154,900
2004,SE,19772,9564,8801
2004,SG,2461,1332,1096
2004,SI,671,426,242
2004,TH,157,86,55
2004,UA,5043,4777,286
2004,US,365038,191923,143465
2004,ZA,1764,887,698
2005,AR,1337,421,124
2005,AU,11756,5214,3609
2005,BE,8995,4170,3952
2005,BG,317,120,46
2005,BR,8023,1230,478
2005,CA,20615,9182,7374
2005,CH,28028,13639,12700
2005,CN,194070,149486,7585
2005,DE,171152,80585,61120
2005,DK,7686,3472,3236
2005,EG,133,48,11
2005,ES,11159,7178,3554
2005,FI,12435,5796,5034
